destination,duration,total_budget,travelers,region,season,purpose,accommodation_type,accommodation,transportation,food,activities,miscellaneous
LAS,8,1130,5,Middle East,peak,adventure,apartment,362.21,307.35,164.25,197.05,99.15
BKK,5,9671,1,Middle East,peak,adventure,airbnb,4068.23,2172.07,1893.95,977.28,559.48
DXB,1,7183,3,North America,peak,family,airbnb,2045.2,1981.29,1431.28,1175.46,549.78
LON,4,777,5,Asia,off_peak,adventure,hotel,221.06,244.47,137.76,111.79,61.92
SYD,3,732,4,North America,shoulder,business,apartment,292.8,210.84,116.26,82.83,29.27
BKK,9,6190,2,Asia,peak,romantic,apartment,1815.97,1256.62,1481.36,1239.27,396.77
DXB,8,8159,3,Asia,peak,leisure,airbnb,3018.99,1476.28,1921.68,1048.91,693.14
LAX,1,525,3,Middle East,off_peak,family,resort,205.42,151.09,73.31,77.21,17.97
PAR,11,7968,2,Asia,peak,leisure,resort,2248.95,1436.03,2163.72,1709.08,410.22
MIA,6,6910,2,Europe,shoulder,romantic,hotel,2251.06,2135.78,1250.57,872.82,399.76
SYD,9,9152,4,Europe,off_peak,family,resort,3481.52,2094.29,1948.15,1221.56,406.48
LAX,7,4264,3,Europe,peak,romantic,resort,1523.91,800.22,965.39,554.91,419.57
LAS,4,7099,3,Middle East,peak,adventure,resort,2037.52,1847.76,1496.78,1127.85,589.1
LAX,13,5602,1,North America,off_peak,adventure,hostel,1907.93,960.64,1277.98,980.5,474.95
PAR,1,7506,5,Oceania,off_peak,adventure,hotel,2842.42,2011.09,1107.79,1278.44,266.27
LAS,12,3983,5,Asia,peak,romantic,airbnb,1270.41,1095.16,821.16,427.37,368.9
SYD,2,2494,1,Oceania,shoulder,romantic,resort,922.77,620.67,442.37,424.96,83.22
PAR,12,9182,5,North America,off_peak,romantic,hostel,3644.83,1610.47,1725.18,1453.49,748.03
NYC,5,1572,2,North America,shoulder,leisure,resort,445.59,359.18,362.2,272.4,132.63
MIA,12,7207,5,Middle East,peak,romantic,hostel,2416.36,2006.87,1313.87,922.84,547.07
SYD,11,715,5,Europe,shoulder,adventure,hotel,297.96,134.0,124.91,120.49,37.65
NYC,5,8105,1,Europe,peak,business,resort,2905.4,2035.67,1484.68,885.66,793.58
DXB,8,3106,4,North America,peak,romantic,hostel,1060.19,777.23,552.08,458.87,257.62
SYD,6,8850,5,Middle East,peak,business,apartment,3369.21,1785.3,1820.81,1268.35,606.33
DXB,8,5281,5,Middle East,peak,adventure,apartment,1788.7,1627.97,1088.74,601.47,174.11
LAS,2,3813,4,Asia,shoulder,romantic,hostel,1479.71,676.61,803.46,604.49,248.74
NYC,3,8263,1,Europe,peak,leisure,resort,3640.96,1721.23,1441.48,922.25,537.08
MIA,6,6439,4,North America,peak,leisure,resort,1873.18,1823.3,1104.39,1052.02,586.1
PAR,12,2795,1,Oceania,shoulder,business,hotel,776.55,702.79,589.1,538.04,188.51
TYO,13,6185,2,Europe,off_peak,leisure,hotel,2142.12,1816.44,1213.8,800.44,212.2
LAX,10,2196,1,Asia,shoulder,leisure,airbnb,698.07,571.57,435.44,339.63,151.29
BKK,3,2446,2,Middle East,shoulder,leisure,hotel,848.18,686.02,432.74,357.19,121.86
MIA,6,3283,2,North America,shoulder,adventure,resort,1059.18,1012.14,656.29,407.14,148.24
NYC,6,4144,1,Europe,peak,leisure,airbnb,1571.67,1063.91,762.32,521.96,224.13
TYO,2,5741,3,Oceania,peak,family,hotel,1618.26,1491.36,1420.58,858.98,351.83
MIA,7,6920,1,Asia,peak,romantic,hostel,2014.08,1921.97,1213.6,1249.41,520.94
NYC,12,8057,5,Asia,off_peak,leisure,apartment,3069.2,1955.73,1338.86,1113.3,579.91
LON,2,3145,5,Europe,peak,leisure,hotel,855.23,872.49,768.91,413.35,235.02
LON,6,7089,3,Oceania,off_peak,leisure,hotel,2742.17,1670.47,1468.16,867.8,340.39
DXB,1,6853,2,Asia,peak,family,hostel,2381.6,1807.59,1513.36,760.61,389.83
MIA,3,2432,3,North America,shoulder,leisure,resort,866.0,479.08,549.21,396.52,141.2
LON,2,2257,5,Asia,peak,leisure,hostel,702.77,504.44,565.32,404.98,79.49
NYC,7,5585,3,Oceania,off_peak,romantic,hotel,2085.28,1359.1,1174.39,659.12,307.11
DXB,14,6137,1,Middle East,off_peak,family,resort,2277.21,1084.98,1281.46,970.05,523.3
NYC,4,1616,3,Middle East,peak,family,airbnb,539.06,337.54,313.46,334.66,91.28
DXB,8,992,2,Europe,shoulder,leisure,hotel,371.15,235.89,193.86,122.0,69.1
MIA,6,9311,1,Oceania,peak,family,hostel,3693.73,1406.63,2101.82,1465.13,643.7
TYO,12,8388,4,Asia,peak,business,airbnb,3124.13,1742.46,1594.74,1498.27,428.4
PAR,10,6974,5,Asia,peak,family,apartment,2580.13,1154.49,1675.23,1063.32,500.83
SYD,4,5458,5,Middle East,shoulder,family,airbnb,1438.33,1835.7,949.86,861.61,372.5
TYO,5,9967,3,Middle East,off_peak,family,hostel,3906.7,2003.82,2165.31,1326.97,564.2
LAS,13,3243,1,North America,shoulder,adventure,airbnb,1086.27,866.82,612.1,536.68,141.13
NYC,13,8366,4,Middle East,off_peak,adventure,hostel,3454.57,1414.95,1734.45,1242.99,519.04
LAS,9,7660,1,North America,off_peak,adventure,hotel,2648.35,2127.17,1409.74,1161.64,313.1
TYO,7,5951,5,Asia,off_peak,family,resort,2507.37,1164.01,1142.55,746.95,390.12
DXB,10,5758,1,North America,shoulder,business,apartment,2097.93,1661.63,788.19,819.61,390.65
SYD,14,9048,4,North America,peak,family,resort,3165.1,2514.28,1538.12,1321.6,508.91
SYD,14,7686,3,Europe,peak,leisure,resort,2206.7,2265.74,1643.21,1050.2,520.15
BKK,9,6602,2,Middle East,peak,business,resort,2330.62,1785.58,1236.79,844.51,404.5
SYD,7,9561,1,North America,peak,adventure,hostel,3413.82,1830.2,1968.54,1597.63,750.81
PAR,12,9577,2,Asia,peak,romantic,hostel,3941.23,2753.94,1489.36,1058.59,333.89
SYD,1,9975,5,Oceania,shoulder,business,apartment,3368.37,2466.96,2106.2,1289.3,744.17
TYO,12,1119,3,North America,shoulder,adventure,hostel,356.66,317.15,216.86,160.41,67.92
BKK,8,1382,3,Middle East,shoulder,business,hostel,570.6,338.27,230.87,150.39,91.87
TYO,4,9488,1,Europe,shoulder,business,hostel,3831.37,1717.21,1851.06,1369.49,718.87
TYO,3,4142,3,Asia,shoulder,family,hostel,1493.69,826.4,813.48,573.61,434.82
LAX,14,1796,1,Europe,shoulder,leisure,hotel,523.2,499.45,352.56,337.08,83.71
BKK,13,8936,1,Oceania,shoulder,romantic,apartment,3067.5,1746.87,1895.94,1833.99,391.7
TYO,7,3395,2,North America,peak,adventure,hostel,1047.82,1125.35,730.1,374.88,116.85
LAX,12,7093,3,North America,off_peak,business,apartment,1668.46,2152.98,1495.16,1173.88,602.52
LAX,3,1429,1,Middle East,shoulder,romantic,airbnb,499.72,283.94,270.66,244.68,130.0
BKK,8,5866,2,North America,off_peak,business,hotel,1903.87,1452.27,1373.75,625.64,510.46
LAS,6,9211,4,Asia,shoulder,leisure,hostel,2792.03,2444.45,1702.21,1587.83,684.48
DXB,5,3712,2,Oceania,shoulder,romantic,hotel,1123.28,1111.77,744.19,593.06,139.71
PAR,4,2909,2,Europe,peak,adventure,hotel,1298.26,558.12,524.25,343.27,185.09
DXB,8,8699,1,Oceania,off_peak,business,airbnb,3465.32,1625.01,1518.72,1496.28,593.68
SYD,8,3923,5,North America,peak,leisure,apartment,1514.95,729.62,838.79,464.57,375.07
PAR,12,7476,5,Europe,peak,romantic,hotel,2767.6,2210.61,1237.4,956.23,304.16
SYD,1,8094,5,Middle East,off_peak,business,resort,2789.95,1759.08,1899.11,942.96,702.89
TYO,9,5658,2,Oceania,peak,business,airbnb,1600.04,1175.63,1415.16,1076.06,391.11
NYC,14,4167,1,Europe,shoulder,adventure,resort,1166.04,1219.78,855.14,590.44,335.6
BKK,5,6473,3,Europe,shoulder,leisure,airbnb,2276.37,1136.99,1630.37,1200.19,229.08
PAR,4,6736,2,Europe,shoulder,family,resort,2494.15,1170.98,1642.07,1133.23,295.57
PAR,6,8777,2,Asia,shoulder,business,resort,2710.08,1666.86,2140.53,1849.43,410.1
TYO,6,2968,1,Oceania,shoulder,romantic,hotel,981.49,718.64,573.06,464.08,230.73
LAS,2,6717,4,Europe,peak,adventure,hotel,2146.08,1900.78,1348.05,870.73,451.36
LAX,8,4119,2,Oceania,peak,adventure,airbnb,1949.87,738.42,666.96,456.18,307.58
TYO,7,2136,4,Europe,shoulder,business,apartment,844.03,468.42,428.81,317.93,76.81
LON,1,8655,4,Middle East,shoulder,business,hotel,3027.67,1482.32,1551.51,1745.27,848.23
LAX,5,4083,5,Middle East,peak,business,hotel,1421.14,1022.81,794.15,578.64,266.26
BKK,12,4509,1,Middle East,off_peak,family,hostel,1652.18,1089.22,802.82,745.45,219.32
LAX,6,3826,4,North America,peak,business,hotel,1347.02,889.06,667.39,741.8,180.74
LAS,4,8648,1,Europe,peak,leisure,apartment,2815.06,1645.73,2096.89,1432.17,658.16
LAX,2,2717,5,North America,peak,romantic,hostel,1121.57,592.01,458.7,324.57,220.15
BKK,13,5467,1,Oceania,peak,business,resort,2228.51,1143.28,983.32,669.88,442.0
LAS,14,2869,2,North America,peak,family,resort,853.51,524.57,645.04,577.38,268.5
DXB,4,4138,4,Oceania,off_peak,romantic,hostel,1305.1,1119.41,784.98,767.83,160.69
PAR,1,9635,1,Oceania,shoulder,adventure,hostel,3523.56,2363.24,1613.08,1665.94,469.18
PAR,7,6222,3,Oceania,shoulder,business,hostel,2178.8,1501.97,1164.51,955.2,421.51
SYD,2,4944,1,North America,off_peak,romantic,airbnb,1761.05,1337.92,732.31,703.27,409.45
DXB,13,8118,4,Europe,shoulder,adventure,apartment,2348.03,2113.24,1944.34,1392.35,320.04
DXB,2,4447,5,North America,shoulder,family,apartment,1398.77,1068.01,1060.09,500.61,419.52
LAX,9,2176,5,Europe,shoulder,leisure,resort,775.1,452.97,456.17,384.65,107.11
PAR,5,1696,4,Europe,off_peak,business,resort,497.33,517.69,403.14,212.65,65.2
BKK,2,3287,2,Oceania,off_peak,leisure,resort,1256.59,830.56,492.14,598.65,109.05
MIA,11,7932,2,North America,shoulder,family,hotel,2931.07,1834.79,1607.19,948.09,610.86
MIA,9,8427,5,Europe,shoulder,romantic,resort,3378.51,1847.6,1546.48,947.79,706.6
LAS,9,3818,5,Middle East,shoulder,romantic,hostel,1422.63,983.98,654.18,626.65,130.56
PAR,1,9358,4,Europe,peak,family,resort,3053.13,2274.37,1759.22,1591.86,679.41
PAR,11,7189,2,Middle East,peak,family,hostel,2235.31,1780.34,1493.08,1271.08,409.2
MIA,3,2676,5,North America,peak,business,airbnb,677.22,695.26,582.25,478.37,242.9
PAR,4,4243,2,North America,off_peak,adventure,hotel,1656.41,725.57,959.5,570.85,330.67
LAX,14,9292,5,North America,shoulder,leisure,hotel,3183.96,2821.71,1720.89,948.96,616.48
LON,7,4922,1,Europe,off_peak,leisure,apartment,1296.77,1565.22,924.69,708.73,426.58
NYC,10,4324,3,Asia,off_peak,romantic,airbnb,1611.64,905.07,772.08,645.48,389.73
DXB,4,9671,1,Europe,off_peak,romantic,hostel,3692.28,3092.79,1419.22,1145.14,321.56
SYD,2,2951,5,Europe,shoulder,business,airbnb,1238.84,551.5,495.23,483.4,182.02
LAS,7,1128,3,Oceania,peak,family,hotel,415.67,261.66,203.63,150.76,96.28
LON,6,8278,3,Oceania,shoulder,leisure,hostel,2899.28,1909.21,1619.97,1054.35,795.19
MIA,3,4196,5,Europe,shoulder,business,airbnb,1100.83,1307.33,702.87,748.57,336.4
DXB,6,4174,5,Middle East,off_peak,romantic,hotel,1469.44,1138.56,732.26,631.34,202.4
PAR,11,4429,2,Oceania,off_peak,romantic,hostel,1396.58,1280.27,737.03,777.14,237.99
SYD,6,3265,5,Europe,off_peak,leisure,hostel,1005.56,954.66,615.37,464.25,225.16
PAR,12,4869,4,Asia,peak,romantic,hotel,2079.04,957.49,1013.21,671.43,147.82
BKK,5,8807,5,Middle East,peak,romantic,hostel,2497.16,1951.88,1874.73,1708.11,775.11
BKK,4,5456,4,North America,peak,adventure,hotel,2152.43,983.36,1065.81,815.64,438.76
SYD,10,1192,5,Europe,shoulder,family,resort,308.69,300.54,281.88,200.18,100.71
SYD,12,3662,2,Europe,off_peak,romantic,resort,1414.28,700.37,589.56,669.73,288.05
MIA,1,1605,4,Middle East,shoulder,adventure,hostel,647.59,333.29,373.17,182.97,67.98
SYD,10,3508,1,Oceania,peak,business,hostel,1209.53,924.43,627.48,433.64,312.91
LAX,6,2661,4,Oceania,off_peak,romantic,hotel,924.91,652.49,496.18,502.31,85.1
PAR,2,8845,2,Oceania,peak,business,hostel,2641.88,2580.72,1510.91,1467.52,643.96
LON,13,4199,4,North America,off_peak,romantic,apartment,1531.91,1126.61,843.4,384.05,313.04
TYO,3,4286,5,Middle East,off_peak,leisure,resort,1225.31,1228.72,986.26,515.7,330.01
SYD,14,9756,5,Middle East,shoulder,adventure,hostel,2944.79,2358.76,2737.05,1324.61,390.79
LAS,8,4700,2,Oceania,shoulder,adventure,hostel,1523.41,1439.7,709.08,609.63,418.18
BKK,10,2413,3,Oceania,peak,leisure,airbnb,690.52,535.33,574.97,389.44,222.74
LAX,14,9908,5,Asia,shoulder,family,hostel,2704.02,3317.59,2417.77,1147.18,321.43
DXB,14,6020,1,Asia,shoulder,adventure,apartment,2348.09,1291.81,1086.11,847.0,446.99
TYO,6,2272,2,Europe,shoulder,business,resort,892.44,408.54,375.81,406.15,189.06
LON,3,3280,4,Europe,off_peak,adventure,airbnb,1059.06,989.36,633.75,344.73,253.1
TYO,7,7923,4,Middle East,shoulder,family,hotel,2788.84,1317.0,1525.67,1477.19,814.29
SYD,4,3371,1,Middle East,peak,business,hotel,1056.04,689.56,713.98,626.82,284.6
MIA,14,1160,5,North America,off_peak,business,resort,418.4,319.33,201.36,165.58,55.34
BKK,9,6742,2,North America,off_peak,leisure,hotel,2858.93,1155.34,1459.82,844.04,423.87
BKK,5,1632,1,Asia,shoulder,romantic,apartment,542.95,376.09,308.44,307.11,97.42
DXB,3,1199,5,Europe,off_peak,leisure,hostel,433.27,264.4,224.4,169.16,107.76
MIA,2,7970,2,Asia,peak,romantic,resort,2679.35,1586.81,1998.08,973.31,732.44
PAR,11,6797,4,Asia,peak,leisure,airbnb,1925.2,1936.9,1134.69,1322.06,478.14
NYC,2,8312,2,Europe,off_peak,romantic,hostel,2889.84,1629.16,1712.01,1559.97,521.02
LAX,3,5057,3,North America,shoulder,adventure,hotel,1655.81,1469.12,1061.28,645.13,225.66
BKK,2,2679,2,Europe,shoulder,business,hotel,933.78,822.73,413.37,422.93,86.18
LAS,14,9565,3,Oceania,off_peak,romantic,airbnb,3123.49,2405.8,1693.05,1464.11,878.55
BKK,4,8775,2,Oceania,peak,adventure,apartment,3728.11,1445.0,1505.09,1681.17,415.63
TYO,2,1922,3,Oceania,off_peak,family,airbnb,758.97,392.02,362.62,232.7,175.69
BKK,10,3680,4,Middle East,shoulder,leisure,resort,1507.77,740.16,821.38,480.13,130.55
BKK,9,4816,5,North America,shoulder,family,airbnb,1804.38,1209.86,797.2,562.95,441.61
NYC,2,7196,3,North America,off_peak,adventure,hotel,2719.91,2008.29,1048.06,1129.93,289.81
NYC,9,1114,3,Middle East,peak,family,apartment,485.74,174.92,201.95,155.78,95.62
LON,13,5070,4,Asia,off_peak,family,apartment,1947.78,1086.8,997.72,886.64,151.06
PAR,6,770,3,Oceania,peak,adventure,airbnb,297.67,246.14,111.11,75.83,39.25
LAS,1,2968,1,Oceania,peak,business,resort,847.75,778.99,706.17,496.47,138.62
BKK,4,4107,4,Asia,off_peak,romantic,hotel,1416.81,1067.25,904.63,426.5,291.81
BKK,14,3575,1,Europe,off_peak,leisure,hostel,1435.56,831.25,618.28,388.79,301.12
LAX,1,789,4,Europe,peak,romantic,apartment,234.5,238.87,167.42,98.17,50.04
NYC,14,8620,3,North America,peak,leisure,airbnb,2442.07,1937.37,2113.12,1604.15,523.3
LAS,6,7114,1,Middle East,peak,romantic,resort,2911.15,1394.11,1386.75,1041.18,380.81
DXB,14,3752,3,North America,peak,family,resort,1468.74,963.78,679.26,503.15,137.07
LON,13,7915,4,Europe,shoulder,business,hotel,2368.66,2077.49,1770.14,1326.17,372.54
PAR,4,7271,3,Asia,off_peak,family,apartment,2789.93,1379.96,1327.22,1217.92,555.97
MIA,3,778,1,North America,peak,business,hotel,232.17,213.58,168.94,99.61,63.71
PAR,3,1080,1,Oceania,off_peak,adventure,hostel,305.95,272.03,242.16,161.53,98.32
TYO,9,5458,3,Oceania,peak,leisure,hostel,1442.92,1475.79,1136.77,915.46,487.06
BKK,6,8945,2,Asia,off_peak,leisure,hostel,3228.92,2517.11,1461.63,1133.72,603.62
LON,9,4776,4,Europe,off_peak,adventure,resort,1599.78,1517.85,748.16,599.33,310.88
TYO,13,8497,4,Oceania,peak,romantic,apartment,3244.66,2572.71,1406.38,817.39,455.86
LAS,5,5276,3,Oceania,peak,adventure,hotel,1644.0,1736.12,965.33,652.72,277.82
MIA,2,1324,2,Middle East,off_peak,adventure,hotel,422.96,403.6,203.02,169.05,125.38
NYC,8,4332,1,North America,off_peak,business,hostel,1266.4,1347.18,837.76,713.83,166.83
LON,5,9391,5,Europe,off_peak,adventure,apartment,3129.17,2514.86,1740.79,1549.96,456.21
LON,2,5945,5,North America,shoulder,leisure,apartment,2091.46,1820.97,872.58,669.57,490.42
BKK,4,1880,3,Europe,peak,family,airbnb,781.21,344.08,412.36,251.14,91.21
SYD,9,7034,2,Oceania,shoulder,business,apartment,2746.08,1894.79,1376.54,776.53,240.06
LON,4,3656,2,Middle East,shoulder,business,apartment,1612.28,574.63,717.67,485.63,265.79
LAX,13,4807,4,North America,peak,romantic,hotel,1521.94,1076.36,1191.8,813.04,203.86
MIA,12,6134,1,Oceania,peak,family,apartment,2439.91,1181.96,1193.12,1016.35,302.66
MIA,12,9075,2,Europe,shoulder,business,apartment,2821.81,2562.86,2104.92,1320.37,265.05
LAX,12,6310,5,North America,peak,adventure,hotel,2111.81,1527.07,1222.56,954.74,493.81
DXB,13,9033,1,North America,off_peak,business,apartment,2720.72,2029.2,1991.88,1305.24,985.96
LAX,14,6434,1,Oceania,off_peak,business,hotel,1937.41,1866.4,1380.68,1057.76,191.75
LAX,4,3609,3,North America,shoulder,business,airbnb,1663.17,665.0,580.59,535.17,165.07
MIA,2,4582,2,Middle East,shoulder,romantic,resort,1492.17,1079.77,909.54,876.45,224.08
PAR,13,3740,3,Middle East,peak,business,hotel,1155.07,1118.55,622.39,528.82,315.18
MIA,12,6528,2,Oceania,peak,business,hotel,1790.95,1508.26,1516.63,1246.96,465.19
SYD,6,2349,4,Europe,shoulder,romantic,apartment,676.27,801.51,406.33,328.3,136.59
BKK,13,8997,3,Oceania,shoulder,family,hotel,2824.68,2563.19,1915.65,1430.95,262.52
TYO,11,3249,3,Middle East,off_peak,leisure,hostel,1035.29,854.25,554.66,554.75,250.05
PAR,14,7180,5,Asia,off_peak,romantic,hostel,2703.09,1163.07,1540.66,1368.31,404.87
NYC,2,9827,3,Asia,peak,romantic,airbnb,3801.52,1935.52,1884.35,1500.51,705.09
TYO,12,705,2,North America,off_peak,business,hotel,296.98,137.12,122.72,118.65,29.53
BKK,7,7852,5,North America,peak,business,apartment,2954.56,1327.16,1414.12,1446.75,709.42
SYD,3,5091,3,Asia,peak,leisure,apartment,1714.85,1228.01,1004.12,900.19,243.84
SYD,3,3950,3,Middle East,peak,business,resort,1260.57,1107.27,815.6,478.31,288.24
NYC,5,7714,4,North America,off_peak,adventure,airbnb,3223.46,1624.56,1353.74,1163.03,349.22
PAR,3,4311,3,Oceania,shoulder,business,apartment,1442.9,1200.6,743.36,637.2,286.94
DXB,2,5641,1,Oceania,shoulder,business,resort,1510.85,1094.35,1403.1,1136.59,496.11
LAX,10,9001,5,Middle East,off_peak,adventure,apartment,3938.0,1915.54,1584.92,1255.36,307.19
PAR,9,3208,1,North America,shoulder,leisure,resort,1103.75,929.23,622.65,416.61,135.75
DXB,2,2491,5,Oceania,peak,adventure,hostel,744.21,572.7,556.98,371.94,245.17
SYD,14,8963,4,North America,shoulder,romantic,hostel,3895.7,1578.11,1510.28,1551.67,427.24
MIA,11,3773,3,North America,off_peak,adventure,apartment,1458.82,958.73,618.2,528.45,208.8
BKK,2,5038,3,Oceania,shoulder,family,airbnb,2004.05,738.28,1130.72,779.7,385.24
NYC,13,9212,3,Asia,peak,romantic,hotel,2370.02,2607.72,1975.78,1454.25,804.23
BKK,8,9668,5,Oceania,peak,business,airbnb,3236.15,2879.95,1552.45,1618.18,381.27
LAS,9,4222,3,Middle East,off_peak,romantic,airbnb,1497.47,1226.99,666.2,555.22,276.12
LAS,7,4051,1,Europe,off_peak,leisure,hotel,1099.81,1029.17,769.59,774.5,377.92
PAR,3,3332,3,Oceania,off_peak,leisure,hostel,1193.11,859.75,683.07,417.73,178.33
SYD,9,6179,4,North America,peak,adventure,hostel,1921.94,1798.68,1184.89,826.33,447.15
SYD,3,7079,1,North America,shoulder,romantic,hotel,2267.68,2071.22,1336.55,895.14,508.41
LAX,5,652,3,Oceania,shoulder,business,resort,231.94,144.81,123.67,101.43,50.14
LAX,9,6254,3,Europe,off_peak,leisure,airbnb,2345.8,1207.62,1340.12,895.04,465.42
LAX,12,3300,2,Oceania,shoulder,business,apartment,1317.66,645.78,530.99,583.32,222.25
MIA,14,5810,5,Europe,shoulder,family,hostel,2209.54,1388.55,1025.55,727.2,459.16
TYO,14,3110,1,Europe,off_peak,leisure,apartment,946.09,907.6,583.71,548.68,123.92
LON,3,1604,2,Middle East,off_peak,adventure,hotel,467.79,461.66,331.19,193.53,149.82
TYO,7,7861,4,North America,peak,family,apartment,2628.13,2016.93,1465.92,1195.3,554.71
BKK,12,4699,5,North America,peak,romantic,apartment,1424.16,1400.05,872.76,796.99,205.04
TYO,1,4354,1,Europe,peak,business,airbnb,1487.14,692.88,1032.22,743.04,398.73
MIA,4,7763,3,North America,peak,leisure,hotel,2611.7,2373.03,1644.23,768.39,365.65
BKK,4,2414,1,Asia,shoulder,family,apartment,827.36,649.35,371.39,404.48,161.42
TYO,7,7865,3,Europe,shoulder,family,hostel,3068.46,1800.61,1809.88,887.73,298.32
MIA,8,3572,5,North America,peak,leisure,hotel,1449.33,783.08,674.66,441.4,223.53
LON,1,9698,3,Asia,peak,romantic,hostel,2745.77,2215.1,2137.49,1545.43,1054.2
TYO,5,906,4,Middle East,off_peak,romantic,resort,307.43,213.3,187.94,111.65,85.68
MIA,7,666,3,North America,shoulder,adventure,apartment,246.56,127.47,155.16,69.98,66.83
LAX,12,1008,4,Asia,shoulder,romantic,hotel,417.57,262.5,159.05,119.96,48.92
SYD,4,2161,5,Oceania,peak,adventure,hostel,636.22,532.31,521.55,308.11,162.81
LAX,13,4164,5,Oceania,shoulder,family,apartment,1480.09,1238.06,585.53,536.1,324.22
SYD,4,3989,1,Asia,off_peak,leisure,airbnb,1421.81,1154.96,758.39,428.69,225.15
NYC,4,1180,4,Europe,off_peak,romantic,hostel,301.7,328.66,241.66,196.08,111.89
NYC,12,3024,4,Europe,shoulder,adventure,hostel,1171.1,647.09,513.45,560.57,131.79
NYC,6,2620,2,North America,peak,family,resort,838.06,567.93,596.31,333.71,283.99
LON,7,5760,2,Oceania,shoulder,romantic,airbnb,2065.03,1606.18,717.05,906.7,465.04
LAX,2,4857,2,Europe,off_peak,business,resort,1858.04,1204.22,932.75,475.54,386.45
SYD,5,1863,3,Europe,peak,family,airbnb,538.6,439.11,512.25,292.47,80.57
MIA,4,2792,2,Oceania,shoulder,romantic,hostel,1029.96,804.81,391.47,432.72,133.03
BKK,14,2038,4,Middle East,peak,family,resort,787.99,489.16,373.07,306.24,81.55
MIA,13,3908,3,Europe,peak,leisure,apartment,1456.54,945.66,799.36,575.18,131.26
BKK,3,8242,5,Asia,off_peak,leisure,airbnb,3158.23,2378.7,1332.22,801.27,571.58
LAS,7,9252,1,North America,peak,leisure,hostel,3432.98,2857.68,1347.13,990.58,623.63
MIA,11,9791,2,Europe,shoulder,business,hotel,3811.4,1597.88,1934.05,1615.16,832.51
TYO,12,2403,5,Europe,peak,leisure,airbnb,728.7,574.11,538.34,454.55,107.3
TYO,6,674,4,Middle East,peak,business,airbnb,188.85,212.32,119.11,107.95,45.77
PAR,14,2730,1,Asia,shoulder,leisure,apartment,838.76,766.65,588.7,434.91,100.98
LAX,7,4787,5,North America,off_peak,family,airbnb,1883.65,965.18,896.97,791.06,250.14
BKK,5,4660,1,Europe,off_peak,romantic,airbnb,1613.65,1372.79,741.05,560.2,372.3
BKK,13,7606,2,North America,shoulder,romantic,apartment,2236.55,1235.32,1910.98,1445.07,778.08
LAX,6,3671,4,Oceania,shoulder,leisure,apartment,1137.8,788.12,698.09,732.05,314.93
LON,5,2067,1,Europe,off_peak,romantic,resort,745.66,374.1,495.69,363.74,87.81
PAR,14,1651,5,Europe,peak,leisure,hostel,645.14,283.57,335.21,281.65,105.43
LON,7,8119,2,Oceania,shoulder,leisure,hostel,2526.98,1788.22,2013.81,1095.86,694.13
LON,2,6533,2,Middle East,peak,adventure,resort,2280.81,1781.56,1035.19,929.85,505.6
LON,14,9060,5,Europe,shoulder,adventure,hostel,3305.24,2039.31,1642.0,1160.53,912.93
LAX,11,5446,5,North America,off_peak,adventure,airbnb,1724.33,1522.69,1073.51,784.81,340.66
LON,5,8734,1,Asia,peak,business,resort,2354.04,2941.38,1738.64,1414.04,285.9
